session_id,status,date,tester_alias,build_path,session_minutes,readability_5sec,visible_laugh_moment,clip_potential,replay_intent,choice_clarity,content_freshness,wishlist_intent,hook_explained_body_rebellion,noticed_visible_reaction,wants_retry,described_text_only,described_social_comedy,one_sentence,first_laugh_or_surprise,confusing_notes,price_fair_usd,observer_notes
BR-001,Planned,,,D:/Metaverse/GamePrototypeProject/Builds/BodyRebels_ExternalTest_Windows.zip,,,,,,,,,,,,,,,,,,
BR-002,Planned,,,D:/Metaverse/GamePrototypeProject/Builds/BodyRebels_ExternalTest_Windows.zip,,,,,,,,,,,,,,,,,,
BR-003,Planned,,,D:/Metaverse/GamePrototypeProject/Builds/BodyRebels_ExternalTest_Windows.zip,,,,,,,,,,,,,,,,,,
BR-004,Planned,,,D:/Metaverse/GamePrototypeProject/Builds/BodyRebels_ExternalTest_Windows.zip,,,,,,,,,,,,,,,,,,
BR-005,Planned,,,D:/Metaverse/GamePrototypeProject/Builds/BodyRebels_ExternalTest_Windows.zip,,,,,,,,,,,,,,,,,,
BR-006,Planned,,,D:/Metaverse/GamePrototypeProject/Builds/BodyRebels_ExternalTest_Windows.zip,,,,,,,,,,,,,,,,,,
BR-007,Planned,,,D:/Metaverse/GamePrototypeProject/Builds/BodyRebels_ExternalTest_Windows.zip,,,,,,,,,,,,,,,,,,
BR-008,Planned,,,D:/Metaverse/GamePrototypeProject/Builds/BodyRebels_ExternalTest_Windows.zip,,,,,,,,,,,,,,,,,,
BR-009,Planned,,,D:/Metaverse/GamePrototypeProject/Builds/BodyRebels_ExternalTest_Windows.zip,,,,,,,,,,,,,,,,,,
BR-010,Planned,,,D:/Metaverse/GamePrototypeProject/Builds/BodyRebels_ExternalTest_Windows.zip,,,,,,,,,,,,,,,,,,
