session_id,status,date,tester_alias,build_path,session_minutes,readability_5sec,clip_potential,replay_intent,trial_fairness,wishlist_intent,hook_explained_clean_blame,noticed_planted_evidence,wants_retry,described_plain_cleanup,described_hidden_role,one_sentence,first_laugh_or_surprise,confusing_notes,price_fair_usd,observer_notes
EI-001,Planned,,,D:/Metaverse/GamePrototypeProject/Builds/EveryoneInnocent_ExternalTest_Windows.zip,,,,,,,,,,,,,,,,
EI-002,Planned,,,D:/Metaverse/GamePrototypeProject/Builds/EveryoneInnocent_ExternalTest_Windows.zip,,,,,,,,,,,,,,,,
EI-003,Planned,,,D:/Metaverse/GamePrototypeProject/Builds/EveryoneInnocent_ExternalTest_Windows.zip,,,,,,,,,,,,,,,,
EI-004,Planned,,,D:/Metaverse/GamePrototypeProject/Builds/EveryoneInnocent_ExternalTest_Windows.zip,,,,,,,,,,,,,,,,
EI-005,Planned,,,D:/Metaverse/GamePrototypeProject/Builds/EveryoneInnocent_ExternalTest_Windows.zip,,,,,,,,,,,,,,,,
EI-006,Planned,,,D:/Metaverse/GamePrototypeProject/Builds/EveryoneInnocent_ExternalTest_Windows.zip,,,,,,,,,,,,,,,,
EI-007,Planned,,,D:/Metaverse/GamePrototypeProject/Builds/EveryoneInnocent_ExternalTest_Windows.zip,,,,,,,,,,,,,,,,
EI-008,Planned,,,D:/Metaverse/GamePrototypeProject/Builds/EveryoneInnocent_ExternalTest_Windows.zip,,,,,,,,,,,,,,,,
EI-009,Planned,,,D:/Metaverse/GamePrototypeProject/Builds/EveryoneInnocent_ExternalTest_Windows.zip,,,,,,,,,,,,,,,,
EI-010,Planned,,,D:/Metaverse/GamePrototypeProject/Builds/EveryoneInnocent_ExternalTest_Windows.zip,,,,,,,,,,,,,,,,
